grid,laps,year,round,lat,lng,alt,position_quali,q1,q2,q3,points_driver_standing,position_driver_standing,wins,points_team_standing,position_team_standing,wins_team_standing,podium,age_at_race
8,70,2008,8,46.8642,3.16361,228,10.0,75.727,75.55799999999999,77.596,5.0,13.0,0.0,23.0,5.0,0.0,0,26.26420260095825
12,70,2008,8,46.8642,3.16361,228,13.0,75.918,75.816,0.0,5.0,14.0,0.0,7.0,9.0,0.0,0,20.971937029431896
11,70,2008,8,46.8642,3.16361,228,12.0,76.006,75.786,0.0,28.0,5.0,0.0,74.0,2.0,1.0,0,31.11841204654346
20,69,2008,8,46.8642,3.16361,228,18.0,76.33,0.0,0.0,5.0,15.0,0.0,8.0,8.0,0.0,0,36.082135523613964
15,69,2008,8,46.8642,3.16361,228,16.0,76.243,0.0,0.0,7.0,11.0,0.0,15.0,6.0,0.0,0,23.444216290212182
19,69,2008,8,46.8642,3.16361,228,15.0,76.08500000000001,76.235,0.0,8.0,10.0,0.0,15.0,6.0,0.0,0,22.986995208761122
14,69,2008,8,46.8642,3.16361,228,14.0,76.072,76.045,0.0,2.0,18.0,0.0,7.0,9.0,0.0,0,29.31416837782341
17,69,2008,8,46.8642,3.16361,228,19.0,76.971,0.0,0.0,0.0,19.0,0.0,0.0,10.0,0.0,0,35.436002737850785
18,69,2008,8,46.8642,3.16361,228,20.0,77.053,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,0,25.44558521560575
16,16,2008,8,46.8642,3.16361,228,17.0,76.306,0.0,0.0,3.0,16.0,0.0,8.0,8.0,0.0,0,28.424366872005475
4,60,2008,9,52.0786,-1.01694,153,4.0,80.288,79.537,81.83500000000001,48.0,1.0,3.0,72.0,3.0,3.0,1,23.49349760438056
5,60,2008,9,52.0786,-1.01694,153,5.0,81.02199999999999,79.80199999999999,81.873,36.0,5.0,0.0,82.0,2.0,1.0,1,31.156741957563312
16,60,2008,9,52.0786,-1.01694,153,16.0,81.512,0.0,0.0,11.0,10.0,0.0,14.0,8.0,0.0,1,36.120465434633815
3,59,2008,9,52.0786,-1.01694,153,3.0,80.37,79.971,81.706,48.0,3.0,2.0,96.0,1.0,5.0,0,28.720054757015742
1,59,2008,9,52.0786,-1.01694,153,1.0,79.957,79.59700000000001,81.049,24.0,6.0,0.0,72.0,3.0,3.0,0,26.713210130047912
6,59,2008,9,52.0786,-1.01694,153,6.0,80.998,79.992,82.029,13.0,9.0,0.0,15.0,7.0,0.0,0,26.937713894592743
14,59,2008,9,52.0786,-1.01694,153,14.0,81.145,80.601,0.0,20.0,7.0,0.0,25.0,4.0,0.0,0,33.98220396988364
15,59,2008,9,52.0786,-1.01694,153,15.0,81.407,81.112,0.0,8.0,12.0,0.0,16.0,6.0,0.0,0,23.482546201232033
20,59,2008,9,52.0786,-1.01694,153,18.0,81.668,0.0,0.0,8.0,11.0,0.0,16.0,6.0,0.0,0,23.025325119780973
2,59,2008,9,52.0786,-1.01694,153,2.0,80.982,79.71000000000001,81.554,18.0,8.0,0.0,24.0,5.0,0.0,0,31.857631759069132
13,59,2008,9,52.0786,-1.01694,153,13.0,80.584,80.531,0.0,2.0,17.0,0.0,7.0,9.0,0.0,0,29.352498288843258
12,59,2008,9,52.0786,-1.01694,153,12.0,80.893,80.274,0.0,5.0,14.0,0.0,25.0,4.0,0.0,0,26.302532511978097
